job_name, mean_salary, max_salary, min_salary, first_grad, second_grad, third_grad, fourth_grad, fiveth_grad, first_department, second_department, third_department, fourth_department, fiveth_department, first_school, second_school, third_school, fourth_school, fiveth_school, first_skill, second_skill, third_skill, fourth_skill, fiveth_skill, number_of_entries 
Marka Temsilcisi, 3.360, 2.200, 4.570,Ýþletme, Halkla Ýliþkiler ve Reklamcýlýk, Halkla Ýliþkiler ve Tanýtým, Reklamcýlýk, Ýktisat, Reklam ve Tanýtým, Tekstil, Hizmet, Kimya, Gýda, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Dokuz Eylül Üniversitesi, Akdeniz Üniversitesi, Adobe Photoshop,Dýþ Ticaret,Dijital Pazarlama,MS SQL Server,Pazarlama Stratejisi,8,
Marka Uzmaný, 4.190, 2.500, 6.680,Ýþletme, Uluslararasý Ýliþkiler, Ýktisat, Ýþletme (Ýngilizce), Endüstri Mühendisliði, Kimya, Hizmet, Danýþmanlýk, Saðlýk, Tekstil, Anadolu Üniversitesi, Marmara Üniversitesi, Ýhsan Doðramacý Bilkent Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Uludað Üniversitesi, Adobe Photoshop,Dijital Pazarlama,Müþteri Hizmetleri Operasyon Yönetimi,Pazarlama Stratejisi,SAP,10,
Marka Yöneticisi / Yönetmeni, 4.900, 2.020, 7.960,Ýþletme, Halkla Ýliþkiler ve Tanýtým, Halkla Ýliþkiler ve Reklamcýlýk, Uluslararasý Ýliþkiler, Reklamcýlýk, Reklam ve Tanýtým, Tekstil, Ticaret, Medya, Gýda, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Anadolu Üniversitesi, Ýstanbul Bilgi Üniversitesi, Kocaeli Üniversitesi, Adobe After Effects,Adobe Illustrator,Adobe Photoshop,Bütçe planlama ve raporlama,Dijital Pazarlama,24,
Masöz, -, -, -, Turizm ve Otel Ýþletmeciliði (MYO), Beden Eðitimi ve Spor Öðretmenliði, Rekreasyon Yönetimi, Kuaförlük ve Güzellik Bilgisi Öðretmenliði, Antrenörlük Eðitimi, Turizm, Saðlýk, Hizmet, Sigortacýlýk, Ticaret, Anadolu Üniversitesi, Adnan Menderes Üniversitesi, Kocaeli Üniversitesi, Ondokuz Mayýs Üniversitesi, Balýkesir Üniversitesi, Bakým Planlama,-, -, -, -, -,
Matematik Mühendisi, 3.370, 2.500, 4.530,Matematik Mühendisliði, Matematik, Matematik-Bilgisayar, Aktüerya Bilimleri, Jeoloji Mühendisliði, Eðitim, Biliþim, Finans - Ekonomi, Arþiv Yönetimi ve Saklama, Yapý, Yýldýz Teknik Üniversitesi (YTÜ), Ýstanbul Teknik Üniversitesi (ÝTÜ), Gümüþhane Üniversitesi , Anadolu Üniversitesi, Erciyes Üniversitesi, C#,HTML/CSS,Machine Learning,Matematiksel Modelleme,MS SQL Server,3,
Matematik Öðretmeni, 3.310, 2.270, 4.350,Matematik, Matematik Öðretmenliði, Ýlköðretim Matematik Öðretmenliði, Fizik, Matematik-Bilgisayar, Eðitim, Danýþmanlýk, Hizmet, Tekstil, Biliþim, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Ege Üniversitesi, Gazi Üniversitesi, Ondokuz Mayýs Üniversitesi, C#,C++,Matematiksel Modelleme,MATLAB,-, 790,
Meclis Baþkaný, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Medikal Danýþman, 5.700, 2.020, 9.460,Týp, Eczacýlýk, Biyoloji, Moleküler Biyoloji ve Genetik, Veteriner, Saðlýk, Hizmet, Reklam ve Tanýtým, Sigortacýlýk, Kimya, Ýstanbul Üniversitesi (ÝÜ), Anadolu Üniversitesi, Hacettepe Üniversitesi, Ege Üniversitesi, Ankara Üniversitesi, Attention To Detail,AutoCAD,Makine Teknikeri,MATHCAD,MATLAB,24,
Medikal Fizik Uzmaný, 5.350, 4.060, 6.640,Fizik, Fizik Mühendisliði, Nükleer Enerji Mühendisliði, Fizik Öðretmenliði, Biyomedikal Mühendisliði, Saðlýk, Hizmet, Sigortacýlýk, Eðitim, Elektrik & Elektronik, Ankara Üniversitesi, Gaziantep Üniversitesi, Hacettepe Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Ege Üniversitesi, C Programming Language,C#,C/C++,SPSS,-, 19,
Medya Planlama Müdürü, 7.370, 5.600, 9.690,Halkla Ýliþkiler ve Reklamcýlýk, Ekonometri, Ýnþaat Mühendisliði, Uluslararasý Ýliþkiler, Antropoloji, Medya, Reklam ve Tanýtým, Telekomünikasyon, Biliþim, Gýda, Ýstanbul Bilgi Üniversitesi, Anadolu Üniversitesi, Marmara Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Boðaziçi Üniversitesi, Dijital Pazarlama,Google Adwords Kampanya Yönetimi,Google Analytics,Mobil Pazarlama,Pazarlama Stratejisi,3,
Medya Planlama Uzmaný, 3.120, 2.020, 4.610,Ýþletme, Halkla Ýliþkiler ve Tanýtým, Ýktisat, Gazetecilik, Halkla Ýliþkiler ve Reklamcýlýk, Medya, Reklam ve Tanýtým, Biliþim, Basým - Yayýn, Telekomünikasyon, Marmara Üniversitesi, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Kocaeli Üniversitesi, Sakarya Üniversitesi, Adobe Illustrator,Adobe Photoshop,Dijital Pazarlama,Google Adwords Kampanya Yönetimi,Marketing,13,
Medya Uzmaný, -, -, -, Bilgisayar Teknolojisi ve Programlama (MYO), Radyo - Sinema ve Televizyon, Ýþletme, Ýktisat, Görsel Ýletiþim Tasarýmý, Medya, Reklam ve Tanýtým, Eðitim, Hizmet, Turizm, Ýstanbul Üniversitesi (ÝÜ), Yýldýz Teknik Üniversitesi (YTÜ), Anadolu Üniversitesi, Ege Üniversitesi, Ankara Üniversitesi, Adobe After Effects,Adobe Flash,Adobe Illustrator,Adobe Photoshop,Dijital Pazarlama,-,
Mekanik Bakým Müdürü, 5.370, 2.400, 8.460,Makine Mühendisliði, Makine, Mekatronik Mühendisliði, Metalurji ve Malzeme Mühendisliði, Elektrik/Elektronik Mühendisliði, Enerji, Maden ve Metal Sanayi, Yapý, Orman Ürünleri, Kimya, Yýldýz Teknik Üniversitesi (YTÜ), Ýstanbul Teknik Üniversitesi (ÝTÜ), Gaziantep Üniversitesi, Dumlupýnar Üniversitesi, Sakarya Üniversitesi, 2D Autocad,5S,AutoCAD,Bakým Planlama,MS Access,9,
Mekanik Bakým Mühendisi, 5.310, 2.940, 7.690,Makine Mühendisliði, Mekatronik Mühendisliði, Makine, Gemi Ýnþaatý ve Gemi Makineleri Mühendisliði, Metalurji ve Malzeme Mühendisliði, Maden ve Metal Sanayi, Enerji, Üretim / Endüstriyel Ürünler, Orman Ürünleri, Otomotiv, Yýldýz Teknik Üniversitesi (YTÜ), Kocaeli Üniversitesi, Karadeniz Teknik Üniversitesi (KTÜ), Erciyes Üniversitesi, Dokuz Eylül Üniversitesi, 5S,Ansys,AutoCAD,Autodesk Inventor,Bakým Planlama,94,
Mekanik Bakým Teknisyeni, 4.160, 2.020, 6.470,Otomotiv (MYO), Makine (MYO), Makine, Ýklimlendirme-Soðutma (MYO), Ýþletme, Otomotiv, Enerji, Üretim / Endüstriyel Ürünler, Gýda, Maden ve Metal Sanayi, Anadolu Üniversitesi, Kocaeli Üniversitesi, Sakarya Üniversitesi, Ege Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), AutoCAD,Bakým Onarým,Bina Mekanik Sistemleri,Bina Sýhhi Tesisatý,Hidrolik,100,
Mekanik Bakým Yöneticisi, 8.740, 6.300, 12.080,Makine Mühendisliði, Makine (MYO), Makine, Makine Resmi ve Konstrüksiyonu Öðretmenliði, Gemi Makineleri Ýþletme Mühendisliði, Gýda, Maden ve Metal Sanayi, Enerji, Üretim / Endüstriyel Ürünler, Orman Ürünleri, Yýldýz Teknik Üniversitesi (YTÜ), Ýstanbul Teknik Üniversitesi (ÝTÜ), Gaziantep Üniversitesi, Dumlupýnar Üniversitesi, Afyon Kocatepe Üniversitesi, AutoCAD,Bakým Planlama,Bina Mekanik Sistemleri,Bina Sýhhi Tesisatý,Bütçe planlama ve raporlama,6,
Mekanik Mühendisi, 5.880, 2.500, 9.630,Makine Mühendisliði, Gemi Ýnþaatý ve Gemi Makineleri Mühendisliði, Ýklimlendirme-Soðutma (MYO), Makine, Enerji Sistemleri Mühendisliði, Yapý, Enerji, Elektrik & Elektronik, Hizmet, Denizcilik, Yýldýz Teknik Üniversitesi (YTÜ), Ýstanbul Teknik Üniversitesi (ÝTÜ), Çukurova Üniversitesi, Karadeniz Teknik Üniversitesi (KTÜ), Eskiþehir Osmangazi Üniversitesi, 2D Autocad,AutoCAD,Autodesk Revit,CATIA,Havalandýrma,14,
Mekanik Teknikeri, 4.380, 2.470, 6.290,Ýklimlendirme-Soðutma (MYO), Makine (MYO), Otomotiv (MYO), Doðalgaz - Isýtma ve Sýhhi Tesisat Teknolojisi (MYO), Makine, Yapý, Otomotiv, Elektrik & Elektronik, Hizmet, Enerji, Kocaeli Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Selçuk Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), Sakarya Üniversitesi, AutoCAD,Bina Mekanik Sistemleri,Bina Sýhhi Tesisatý,Borulama,Havalandýrma,36,
Mekanik Teknisyeni, 3.500, 2.300, 4.700,Otomotiv (MYO), Ýklimlendirme-Soðutma (MYO), Makine (MYO), Makine, Mekatronik (MYO), Otomotiv, Yapý, Turizm, Saðlýk, Enerji, Anadolu Üniversitesi, Kocaeli Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Akdeniz Üniversitesi, Sakarya Üniversitesi, AutoCAD,Bina Mekanik Sistemleri,Bina Sýhhi Tesisatý,Elektrik Motorlarý,Havalandýrma,61,
Mekanik Tesisat Mühendisi, 4.390, 3.500, 6.020,Makine Mühendisliði, Enerji Sistemleri Mühendisliði, Ýklimlendirme-Soðutma (MYO), Makine, Makine (MYO), Yapý, Elektrik & Elektronik, Hizmet, Enerji, Otomotiv, Yýldýz Teknik Üniversitesi (YTÜ), Bozok Üniversitesi, Mustafa Kemal Üniversitesi, Süleyman Demirel Üniversitesi, Atatürk Üniversitesi, AutoCAD,Bina Sýhhi Tesisatý,Hakediþ Düzenlenmesi,Havalandýrma,HVAC,9,
Mekaniker, 3.720, 2.500, 5.510,Otomotiv (MYO), Makine (MYO), Otomotiv Teknolojisi, Mekatronik (MYO), Ýþletme, Otomotiv, Üretim / Endüstriyel Ürünler, Biliþim, Elektrik & Elektronik, Maden ve Metal Sanayi, Kocaeli Üniversitesi, Trakya Üniversitesi, Anadolu Üniversitesi, Mehmet Akif Ersoy Üniversitesi, Balýkesir Üniversitesi, AutoCAD,Makine Teknikeri,Mekanik Bakým,MEKANÝK MONTAJ,Mekanik Tesisat,6,
Mekatronik Mühendisi, 3.450, 2.020, 5.000,Mekatronik Mühendisliði, Mekatronik (MYO), Makine Mühendisliði, Elektrik/Elektronik Mühendisliði, Mekatronik Öðretmenliði, Elektrik & Elektronik, Üretim / Endüstriyel Ürünler, Biliþim, Otomotiv, Hizmet, Kocaeli Üniversitesi, Karabük Üniversitesi, Fýrat Üniversitesi, Erciyes Üniversitesi, Sakarya Üniversitesi, Ansys,Ansys Workbench,ARDUINO,AutoCAD,C,109,
Mekatronik Teknikeri, 3.530, 2.020, 5.480,Mekatronik (MYO), Otomotiv (MYO), Kamu Yönetimi, Elektrik (MYO), Endüstriyel Elektronik (MYO), Elektrik & Elektronik, Üretim / Endüstriyel Ürünler, Otomotiv, Biliþim, Yapý, Kocaeli Üniversitesi, Gaziosmanpaþa Üniversitesi, Çanakkale 18 Mart Üniversitesi, Sakarya Üniversitesi, Dumlupýnar Üniversitesi, ARDUINO,AutoCAD,Baský Devre Tasarýmý,Bilgisayar Destekli Tasarým Araçlarý,Elektrik Kumanda Panolarý,40,
Mekatronik Teknisyeni, 2.820, 2.020, 3.670,Mekatronik (MYO), Otomotiv (MYO), Mekatronik Mühendisliði, Endüstriyel Elektronik (MYO), Makine, Otomotiv, Elektrik & Elektronik, Üretim / Endüstriyel Ürünler, Biliþim, Gýda, Kocaeli Üniversitesi, Manisa Celal Bayar Üniversitesi, Anadolu Üniversitesi, Adnan Menderes Üniversitesi, Sakarya Üniversitesi, AutoCAD,ELEKTRÝK BAKIM ONARIM,Elektrik Kumanda Panolarý,Elektrik Motorlarý,Elektrik Pano,13,
Mekatroniker, -, -, -, Mekatronik (MYO), Otomotiv (MYO), Mekatronik Öðretmenliði, Mekatronik Mühendisliði, Otomotiv Mühendisliði, Otomotiv, Üretim / Endüstriyel Ürünler, Elektrik & Elektronik, Maden ve Metal Sanayi, Kimya, Kocaeli Üniversitesi, Ege Üniversitesi, Gazi Üniversitesi, Aksaray Üniversitesi, Süleyman Demirel Üniversitesi, Adobe Photoshop,AutoCAD,CAD/CAM,Hidrolik ve Pnömatik Sistemler,Otomasyon Sistemleri,-,
Memur, -, -, -, Ýþletme, Ýktisat, Kamu Yönetimi, Maliye, Uluslararasý Ýliþkiler, Finans - Ekonomi, Eðitim, Hizmet, Havacýlýk, Güvenlik, Anadolu Üniversitesi, Selçuk Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Kocaeli Üniversitesi, Gazi Üniversitesi, Ticaret,Biyoyakýtlar,Personel Maliyet,Documantery Programme,•	Deadline And Target Driven,-,
Menajer, 3.580, 2.320, 5.230,Radyo - Sinema ve Televizyon, Ýþletme, Ýktisat, Uluslararasý Ýliþkiler, Turizm ve Otel Ýþletmeciliði (MYO), Eðlence - Kültür - Sanat, Medya, Reklam ve Tanýtým, Hizmet, Basým - Yayýn, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Kocaeli Üniversitesi, Beykent Üniversitesi, Sosyal Medya Yönetimi,-, -, -, -, 5,
Mental Aritmetik Öðretmeni, -, -, -, Matematik, Fizik, Biyoloji, Ýþletme, Kamu Yönetimi, Eðitim, Danýþmanlýk, Hizmet, Turizm, Basým - Yayýn, Anadolu Üniversitesi, Gazi Üniversitesi, Ege Üniversitesi, Kocaeli Üniversitesi, Karadeniz Teknik Üniversitesi (KTÜ), 2005 - 2007 Ortaöðretim 2007 - 2009 Lise Basketbol Takýmýnda Oynadým,Personel Maliyet,Voleybol, Müzik, Spor Ýlgi Alaným Ýçerisinde,Kürek Sporu 1. Ve 2. Lik Dereceleri,Consumer Protection Law,-,
Merchandiser, 3.910, 2.020, 6.130,Tekstil Mühendisliði, Ýþletme, Kamu Yönetimi, Ýktisat, Uluslararasý Ýliþkiler, Gýda, Tekstil, Ticaret, Kimya, Perakende, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Ege Üniversitesi, Uludað Üniversitesi, Marmara Üniversitesi, Adobe Photoshop,Photoshop,SAP,Satýþ Yönetimi,-, 367,
Merchandiser Müdürü, 9.380, 6.500, 13.100,Tekstil Mühendisliði, Ýþletme, Ýþletme (Ýngilizce), Endüstri Mühendisliði, Tekstil (MYO), Tekstil, Perakende, Hýzlý Tüketim Mallarý, Telekomünikasyon, Gýda, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Anadolu Üniversitesi, Uludað Üniversitesi, Ýstanbul Teknik Üniversitesi (ÝTÜ), Bütçe planlama ve raporlama,Dýþ Ticaret,Marketing communications,Nebim Winner,SAP,12,
Mermer Teknikeri, -, -, -, Mermercilik (MYO), Mermer Teknolojisi (MYO), Maden Mühendisliði, Ýþletme, Makine (MYO), Maden ve Metal Sanayi, Yapý, Eðitim, Taþýmacýlýk, Turizm, Afyon Kocatepe Üniversitesi, Muðla Üniversitesi, Fýrat Üniversitesi, Uludað Üniversitesi, Mimar Sinan Güzel Sanatlar Üniversitesi, 3D Tasarým ve Modelleme Uygulamasý,Adobe Photoshop CC,Eta Muhasebe Programý,Silahlý Özel Güvenlik,-, -,
Mermer Ustasý , 4.500, 2.500, 8.320,Ýþletme, Ýktisat, Dýþ Ticaret (MYO), Mermercilik (MYO), Kamu Yönetimi, Maden ve Metal Sanayi, Yapý, Üretim / Endüstriyel Ürünler, Mobilya & Aksesuar, Kaynak ve Kesme Ekipmanlarý, Anadolu Üniversitesi, Adnan Menderes Üniversitesi, Ege Üniversitesi, Selçuk Üniversitesi, Erciyes Üniversitesi, BÜRO YÖNETÝMÝ VE SEKRETERLÝK,Elektrik/Elektronik,Ön Muhasebe,Üst Yapý Ýnþaatlarý,-, 10,
Metal Ýþleri Öðretmeni, -, -, -, Metal Öðretmenliði, Teknik Eðitim, Metalurji ve Malzeme Mühendisliði, Makine (MYO), Malzeme Bilimi ve Mühendisliði, Eðitim, Maden ve Metal Sanayi, Üretim / Endüstriyel Ürünler, Saðlýk, Hizmet, Fýrat Üniversitesi, Gazi Üniversitesi, Marmara Üniversitesi, Karabük Üniversitesi, Afyon Kocatepe Üniversitesi, AutoCAD,Bilgisayar Destekli Tasarým Araçlarý,Ýnsan Kaynaklarý Yönetimi,ÝSÝG (Ýþçi Saðlýðý ve Ýþ Güvenliði) Mevzuatý,Mekanik Tesisat,-,
Metalograf, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Metalurji ve Malzeme Mühendisi, 3.620, 2.030, 5.260,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 57,
Metalürji Mühendisi, 4.260, 2.020, 6.590,Metalurji ve Malzeme Mühendisliði, Malzeme Bilimi ve Mühendisliði, Metalurji Malzeme (MYO), Makine (MYO), Makine, Maden ve Metal Sanayi, Üretim / Endüstriyel Ürünler, Otomotiv, Hizmet, Ev Eþyalarý, Sakarya Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), Orta Doðu Teknik Üniversitesi (ODTÜ), Kocaeli Üniversitesi, Ýstanbul Teknik Üniversitesi (ÝTÜ), AutoCAD,Döküm,Ýþçi Saðlýðý ve Ýþ Güvenliði,Kalite / AR-GE,Kalite Yönetim Sistemleri,11,
Meteoroloji Mühendisi, -, -, -, Meteoroloji Mühendisliði, Ýnsan Kaynaklarý, Enerji, Hizmet, Havacýlýk, -, -, -, -, -, -, -, -, -, -, Algorithms,ArcGIS,CorelDraw,Fortran,Ýstatistiksel analiz,-,
Metin Yazarý, 3.140, 2.020, 4.370,Halkla Ýliþkiler ve Reklamcýlýk, Reklamcýlýk, Radyo - Sinema ve Televizyon, Halkla Ýliþkiler ve Tanýtým, Gazetecilik, Reklam ve Tanýtým, Medya, Basým - Yayýn, Biliþim, Eðlence - Kültür - Sanat, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Kocaeli Üniversitesi, Ankara Üniversitesi, Adobe Illustrator,Adobe Photoshop,Dijital Pazarlama,Metin Yazarlýðý,Photoshop,54,
Metod Mühendisi, 4.180, 2.250, 6.370,Endüstri Mühendisliði, Makine Mühendisliði, Metalurji ve Malzeme Mühendisliði, Kimya Mühendisliði, Talaþlý Üretim Öðretmenliði, Otomotiv, Üretim / Endüstriyel Ürünler, Maden ve Metal Sanayi, Elektrik & Elektronik, Biliþim, Eskiþehir Osmangazi Üniversitesi, Uludað Üniversitesi, Dokuz Eylül Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), Manisa Celal Bayar Üniversitesi, 5S,AutoCAD,CATIA,FMEA,Kaizen,36,
Miço, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Mihmandar, -, -, -, Uluslararasý Ýliþkiler, Ýngiliz Dili ve Edebiyatý, Ýþletme, Rus Dili ve Edebiyatý, Ýktisat, Reklam ve Tanýtým, Danýþmanlýk, Turizm, Hizmet, Eðlence - Kültür - Sanat, Ýstanbul Üniversitesi (ÝÜ), Akdeniz Üniversitesi, Hacettepe Üniversitesi, Marmara Üniversitesi, Ankara Üniversitesi, Adobe Photoshop,Cari Hesap Ýþlemleri,Genel Muhasebe,Java,MATLAB,-,
Mikrobiyoloji Analisti, 3.360, 2.090, 4.640,Biyoloji, Gýda Teknolojisi (MYO), Gýda Mühendisliði, Kimya Teknolojisi (MYO), Kimya (MYO), Saðlýk, Gýda, Kimya, Çevre, Hizmet, Ege Üniversitesi, Trakya Üniversitesi, Kocaeli Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Selçuk Üniversitesi, Analiz Yöntemleri,GCMS / HPLC,Gýda Mevzuatý,GMP,HACCP,35,
Mikrobiyoloji Uzmaný, 4.710, 2.500, 8.040,Biyoloji, Týp, Gýda Mühendisliði, Kimya, Týbbi Laboratuvar (MYO), Saðlýk, Gýda, Hizmet, Kimya, Sigortacýlýk, Ege Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Çanakkale 18 Mart Üniversitesi, Trakya Üniversitesi, Uludað Üniversitesi, GCMS / HPLC,Gýda Mevzuatý,GMP,ISO 22000 Gýda Güvenliði HACCP,Kalite / AR-GE,30,
Milletvekili, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Mimar, 4.080, 2.020, 6.230,Mimarlýk, Ýç Mimarlýk, Ýnþaat (MYO), Restorasyon (MYO), Peyzaj Mimarlýðý, Yapý, Hizmet, Elektrik & Elektronik, Mobilya & Aksesuar, Maden ve Metal Sanayi, Yýldýz Teknik Üniversitesi (YTÜ), Ýstanbul Teknik Üniversitesi (ÝTÜ), Mimar Sinan Güzel Sanatlar Üniversitesi, Trakya Üniversitesi, Gazi Üniversitesi, 3D Max,3D Studio Max,3D Tasarým ve Modelleme Uygulamasý,Adobe Illustrator,Adobe Photoshop,1099,
Mimari Tasarýmcý, 4.280, 2.250, 6.370,Mimarlýk, Ýç Mimarlýk, Ýnþaat (MYO), Ýç Mimarlýk ve Çevre Tasarýmý, Mimari Restorasyon, Yapý, Mobilya & Aksesuar, Reklam ve Tanýtým, Hizmet, Elektrik & Elektronik, Ýstanbul Teknik Üniversitesi (ÝTÜ), Anadolu Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), Kocaeli Üniversitesi, Selçuk Üniversitesi, 3D Max,3D Studio Max,3D Tasarým ve Modelleme Uygulamasý,3Ds Max,Adobe Illustrator,13,
Mimari Teknik Ressam, 4.180, 2.360, 6.000,Ýnþaat (MYO), Mimari Restorasyon, Mimarlýk, Ýnþaat Teknolojisi, Restorasyon (MYO), Yapý, Hizmet, Elektrik & Elektronik, Maden ve Metal Sanayi, Mobilya & Aksesuar, Bülent Ecevit Üniversitesi, Anadolu Üniversitesi, Hacettepe Üniversitesi, Selçuk Üniversitesi, Düzce Üniversitesi, 2D Autocad,3D Max,3D Studio Max,3D Tasarým ve Modelleme Uygulamasý,Adobe Photoshop,33,
Misafir Ýliþkileri Müdürü, 4.380, 2.400, 6.380,Turizm ve Otel Ýþletmeciliði (MYO), Ýþletme, Turizm Ýþletmeciliði, Turizm - Otelcilik, Almanca Öðretmenliði, Turizm, Hizmet, Reklam ve Tanýtým, Gýda, Eðlence - Kültür - Sanat, Anadolu Üniversitesi, Ankara Üniversitesi, Dokuz Eylül Üniversitesi, Marmara Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), CRM,Ýþ ve süreç analizi,LAN (Local Area Network),Müþteri Hizmetleri Operasyon Yönetimi,Sosyal Medya Yönetimi,14,
Misafir Ýliþkileri Sorumlusu, 2.840, 2.340, 3.410,Turizm ve Otel Ýþletmeciliði (MYO), Turizm Ýþletmeciliði, Ýþletme, Uluslararasý Ýliþkiler, Konaklama ve Turizm Ýþletmeciliði, Turizm, Eðlence - Kültür - Sanat, Saðlýk, Hizmet, Havacýlýk, Anadolu Üniversitesi, Akdeniz Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Balýkesir Üniversitesi, Selçuk Üniversitesi, HACCP,-, -, -, -, 13,
Mobil Uygulama Geliþtiricisi, 5.390, 2.450, 8.330,Bilgisayar Mühendisliði, Bilgisayar Teknolojisi ve Programlama (MYO), Yazýlým Mühendisliði, Elektrik/Elektronik Mühendisliði, Bilgisayar Programcýlýðý, Biliþim, Finans - Ekonomi, Telekomünikasyon, Ticaret, Danýþmanlýk, Sakarya Üniversitesi, Kocaeli Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), Ýstanbul Teknik Üniversitesi (ÝTÜ), Anadolu Üniversitesi, Android Programlama,Android Uygulama Geliþtirme,C,C#,C++,81,
Mobil Vinç Operatörü, 3.890, 2.800, 5.300,Ýþletme, Kamu Yönetimi, Otomotiv (MYO), Elektrik-Elektronik Teknikerliði (MYO), Muhasebe (MYO), Yapý, Denizcilik, Üretim / Endüstriyel Ürünler, Maden ve Metal Sanayi, Taþýmacýlýk, Anadolu Üniversitesi, Kocaeli Üniversitesi, Ýnönü Üniversitesi, Mustafa Kemal Üniversitesi, Adýyaman Üniversitesi, Bakým Planlama,Forklift,Forklift Operatörü,Src 2,Tavan Vinç Operatörü,22,
Mobil Yazýlým Mühendisi, 5.140, 2.700, 8.770,Bilgisayar Mühendisliði, Yazýlým Mühendisliði, Bilgisayar Teknolojisi ve Programlama (MYO), Bilgisayar Programcýlýðý, Matematik Mühendisliði, Biliþim, Finans - Ekonomi, Telekomünikasyon, Turizm, Üretim / Endüstriyel Ürünler, Kocaeli Üniversitesi, Fýrat Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), Anadolu Üniversitesi, Sakarya Üniversitesi, Android Programlama,Android Uygulama Geliþtirme,C,C#,C++,8,
Mobil Yazýlým Uzmaný, 5.350, 2.100, 8.970,Bilgisayar Mühendisliði, Bilgisayar Teknolojisi ve Programlama (MYO), Yazýlým Mühendisliði, Bilgisayar Programcýlýðý, Matematik, Biliþim, Finans - Ekonomi, Telekomünikasyon, Ticaret, Medya, Ýstanbul Teknik Üniversitesi (ÝTÜ), Anadolu Üniversitesi, Kocaeli Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), Ýstanbul Üniversitesi (ÝÜ), Java,Android Uygulama Geliþtirme,JavaScript,C#,Doga Tabiatý,9,
Mobilya Ustasý, 3.420, 2.280, 4.560,Mobilya ve Dekorasyon (MYO), Ýþletme, Mobilya ve Dekorasyon Öðretmenliði, Ýktisat, Makine (MYO), Mobilya & Aksesuar, Yapý, Ofis / Büro Malzemeleri, Turizm, Denizcilik, Anadolu Üniversitesi, Balýkesir Üniversitesi, Sakarya Üniversitesi, Uludað Üniversitesi, Karadeniz Teknik Üniversitesi (KTÜ), AutoCAD,Elektrik/Elektronik,MOBÝLYA MONTAJ,Montaj,Teknik Resim Okuma,21,
Moda Editörü, -, -, -, Moda ve Tekstil Tasarýmý, Moda Tasarýmý, Ýþletme (Ýngilizce), Ýþletme - Ekonomi, Ýþletme, Tekstil, Basým - Yayýn, Medya, Ticaret, Biliþim, Marmara Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Ýstanbul Bilgi Üniversitesi, Ýstanbul Aydýn Üniversitesi, Anadolu Üniversitesi, 3D Studio Max,Adobe Illustrator,Adobe Photoshop,Adobe Premiere Pro,CorelDraw,-,
Moda Tasarýmcýsý, 4.800, 2.180, 7.420,Moda Tasarýmý, Moda ve Tekstil Tasarýmý, Moda Tasarýmý (MYO), Tekstil (MYO), Tekstil Tasarýmý, Tekstil, Eðitim, Ev Eþyalarý, Ticaret, Perakende, Marmara Üniversitesi, Anadolu Üniversitesi, Mimar Sinan Güzel Sanatlar Üniversitesi, Dokuz Eylül Üniversitesi, Gazi Üniversitesi, Adobe Illustrator,Adobe Photoshop,CorelDraw,Dikim,Kalýp,93,
